Invoice Number,Site Name,Account Number,Payment Method,Calls,Service Charges,Total (W/o VAT),VAT,Total,Period,Date
52034,Sovereign Cars,SOV2005,Direct Debit,37.81,40,77.81,15.56,93.37,Jul-17,24.03.17
52035,Stanley Travel North East Ltd/Coach Office,STN1208,Direct Debit,6.89,305.19,312.08,62.42,374.5,Jul-17,25.03.17
52036,Star Cars - Chorley,STA2706,Cheque,15.38,150,165.38,33.08,198.46,Jul-17,26.03.17
52037,Star Cars - Rawtenstall,STA0112,Direct Debit,12.49,144.1,156.59,31.32,187.91,Jul-17,27.03.17
52038,Stepps Radio Cars,STP0809,Direct Debit,14.23,117.99,132.22,26.44,158.66,Jul-17,28.03.17
52039,Swift Taxis,SWT2012,Direct Debit,0,60,60,12,72,Jul-17,29.03.17
52040,Swiftline Star Taxis,SWF1006,Direct Debit,0.05,339.78,339.83,67.97,407.8,Jul-17,30.03.17
52041,Thatched Cars,THA0111,Direct Debit,0,102.5,102.5,20.5,123,Jul-17,31.03.17
52042,Thornton Lodge Surgery,TLS1711,Direct Debit,0,128.46,128.46,25.69,154.15,Jul-17,01.04.17
52043,Tiger Cars Clitheroe Limited,TGR2407,Direct Debit,0,135.98,135.98,27.2,163.18,Jul-17,02.04.17
52044,Town Gate Cars,TWN0103,Cheque,0,95.99,95.99,19.2,115.19,Jul-17,03.04.17
52045,Triple One Cars,,Cheque,0.02,0,0.02,0,0.02,Jul-17,04.04.17
52046,Uber Taxis North West Ltd,UBT1505,Direct Debit,0,89.96,89.96,17.99,107.95,Jul-17,05.04.17
52047,Viceroy Law Limited,VCL0608,Direct Debit,16.13,146.31,162.44,32.49,194.93,Jul-17,06.04.17
52048,Village Cars/Village Cars-Accrington,VC1108,Direct Debit,0,132.36,132.36,26.47,158.83,Jul-17,07.04.17
52049,Village Cars (Oldham) Ltd,VIL3103,Direct Debit,1.61,140.6,142.21,28.44,170.65,Jul-17,08.04.17
52050,Village Cleaners,DVC2008,Direct Debit,3.09,135.25,138.34,27.67,166.01,Jul-17,09.04.17
52051,Village Pizzeria & Kebab,VLP0709,Cheque,0.15,49.58,49.73,9.95,59.68,Jul-17,10.04.17
52052,Yellow Cars Barnoldswick Ltd,YLW2710,Direct Debit,0.76,182.53,183.29,36.66,219.95,Jul-17,11.04.17
